filename,filesize,lines,start,end
./measurements_cmdline_ingest.csv,55091,624,00:51:08.130768222,00:51:08.155043613
./aws-open-data/safecast-opendata-public-us-east-1.csv,74074,494,00:51:08.166017233,00:51:08.189866253
./aws-open-data/lofar-elais-n1.csv,3036783,21149,00:51:08.202567273,00:51:08.253609594
./aws-open-data/broad-references.csv,43179,262,00:51:08.259700235,00:51:08.284813443
./aws-open-data/noaa-cdr-microwave-imager-brit-temp-rss-pds.csv,79616699,411122,00:51:08.486234144,00:51:08.859888624
./aws-open-data/mur-sst.csv,97748394,828977,00:51:09.131575372,00:51:09.644760170
./aws-open-data/pacific-sound-256khz-2017.csv,7347940,52107,00:51:09.670512380,00:51:09.758983444
./aws-open-data/noaa-cdr-precip-gpcp-monthly-pds.csv,89141,540,00:51:09.765042115,00:51:09.789174156
./aws-open-data/molssi-bioexcel-covid-19-structure-therapeutics-hub.csv,58487,306,00:51:09.794635274,00:51:09.818282733
./aws-open-data/openalex-mag-format.csv,9245,56,00:51:09.825043937,00:51:09.847782425
./aws-open-data/gdc-hcmi-cmdc-phs001486-2-open.csv,624099,2937,00:51:09.855960235,00:51:09.884599227
./aws-open-data/answer-reformulation-pds.csv,258,2,00:51:09.889687903,00:51:09.913778166
./aws-open-data/sra-pub-src-1.csv,46263002,268784,00:51:10.035270148,00:51:10.286830323
./aws-open-data/ibl-brain-wide-map-public.csv,5170304,22938,00:51:10.305887645,00:51:10.366106946
./aws-open-data/noaa-nclimgrid-daily-pds.csv,6019639,39285,00:51:10.390011268,00:51:10.462131595
./aws-open-data/sevir.csv,21328,143,00:51:10.467656913,00:51:10.492672215
./aws-open-data/noaa-nws-uwpd-cmip5-pds.csv,21662588,141027,00:51:10.557668445,00:51:10.727672708
./aws-open-data/deafrica-services-inventory.csv,914291,4565,00:51:10.736058649,00:51:10.767686416
./aws-open-data/noaa-cdr-cloud-properties-polar-orbiter-nasa-pds.csv,2552,15,00:51:10.781380545,00:51:10.808765248
./aws-open-data/noaa-ufs-srw-pds.csv,120538,825,00:51:10.815101973,00:51:10.839440002
./aws-open-data/web-language-models.csv,1693088,11948,00:51:10.851091107,00:51:10.888064272
./aws-open-data/noaa-cdr-ir-water-vapor-brit-temp-pds.csv,11136,57,00:51:10.893299835,00:51:10.917876483
./aws-open-data/terrafusiondatasampler.csv,841284,5058,00:51:10.926800687,00:51:10.965730454
./aws-open-data/landsat-pds.csv,210,2,00:51:10.974297636,00:51:11.007971755
./aws-open-data/pansurg-curation-workflo-kendraqueryresults50d0eb-open-data.csv,2202992,8251,00:51:11.021616030,00:51:11.058898909
./aws-open-data/amazon-pqa.csv,13024,102,00:51:11.064104284,00:51:11.087435068
./aws-open-data/pacific-sound-256khz-2016.csv,6995035,49567,00:51:11.110653020,00:51:11.200339422
./aws-open-data/omi-no2-nasa.csv,853849,5693,00:51:11.209170509,00:51:11.241460543
./aws-open-data/noaa-cdr-snow-cover-ext-north-pds.csv,2456,16,00:51:11.248358743,00:51:11.282912157
./aws-open-data/sondehub-history.csv,109573453,849773,00:51:11.579971212,00:51:12.171268905
./aws-open-data/gdc-nciccr-phs001444-2-open.csv,497693,2407,00:51:12.180254975,00:51:12.208626265
./aws-open-data/human-microbiome-project.csv,13929698,85375,00:51:12.252905480,00:51:12.375692609
./aws-open-data/noaa-nclimgrid-monthly-pds.csv,638,5,00:51:12.381495009,00:51:12.404905944
./aws-open-data/cbers-meta-pds.csv,229891406,1226157,00:51:13.023849161,00:51:13.846207338
./aws-open-data/gatk-sv-data-us-east-2.csv,1508590,6998,00:51:13.857468219,00:51:13.891886448
./aws-open-data/ltrf-cqa-dataset.csv,228,2,00:51:13.897126679,00:51:13.921071378
./aws-open-data/deafrica-input-datasets-inventory.csv,555275,2657,00:51:13.928625814,00:51:13.955825137
./aws-open-data/covers-song-br.csv,13030641,102299,00:51:13.991127930,00:51:14.115413842
./aws-open-data/cse-cic-ids2018.csv,7139,42,00:51:14.120586486,00:51:14.144625423
./aws-open-data/inlab-opendata-covid-anonymized-images.csv,488644,2771,00:51:14.152521822,00:51:14.180359357
./aws-open-data/oicr.icgc.meta.csv,5800986,41314,00:51:14.200520887,00:51:14.277979348
./aws-open-data/tcga-2-open.csv,237589251,1360150,00:51:14.891500958,00:51:16.105252695
./aws-open-data/covid19-harmonized-dataset.csv,762420,4712,00:51:16.113211090,00:51:16.143914740
./aws-open-data/tiger-training.csv,1255279,5633,00:51:16.153220654,00:51:16.190106797
./aws-open-data/noaa-cdr-cloud-properties-isccp-pds.csv,64535117,305431,00:51:16.435327671,00:51:16.680922909
./aws-open-data/gbif-open-data-af-south-1.csv,2210295,13817,00:51:16.693628022,00:51:16.734319304
./aws-open-data/ncar-na-cordex.csv,57213915,373052,00:51:16.892534900,00:51:17.177495168
./aws-open-data/sra-pub-sars-cov2-metadata-us-east-1.csv,149374,848,00:51:17.183380262,00:51:17.208530391
./aws-open-data/lowcontext-ner-gaz.csv,807,7,00:51:17.213628709,00:51:17.237465504
./aws-open-data/qiime2-data.csv,339834,2360,00:51:17.244228466,00:51:17.271512689
./aws-open-data/gdc-ctsp-phs001175-2-open.csv,53818,273,00:51:17.276904819,00:51:17.301680014
./aws-open-data/ocmr.csv,32388,289,00:51:17.306705195,00:51:17.332477771
./aws-open-data/nrel-pds-wtk.csv,75182669,536347,00:51:17.529311908,00:51:17.951416157
./aws-open-data/pyfr-mtu-t161-dns-data.csv,16572,116,00:51:17.957008381,00:51:17.981647822
./aws-open-data/aws-roda-ml-datalake.csv,10130173,61507,00:51:18.012109309,00:51:18.114726143
./aws-open-data/deafrica-sentinel-1-inventory.csv,676684,3343,00:51:18.123875353,00:51:18.152232371
./aws-open-data/deafrica-sentinel-2-inventory.csv,63406638,301950,00:51:18.320870790,00:51:18.639207660
./aws-open-data/noaa-cdr-precip-cmorph-pds.csv,76466822,429541,00:51:18.870576475,00:51:19.196162558
./aws-open-data/noaa-ufs-regtests-pds.csv,5535140,32743,00:51:19.216768581,00:51:19.282861571
./aws-open-data/code-mixed-ner.csv,5058,38,00:51:19.288176476,00:51:19.311799351
./aws-open-data/pacific-sound-256khz-2015.csv,2956717,20975,00:51:19.325636710,00:51:19.374328423
./aws-open-data/datasets.elasticmapreduce.csv,24593,172,00:51:19.379308950,00:51:19.403202632
./aws-open-data/czb-opencell.csv,2461558,12603,00:51:19.415884293,00:51:19.456384122
./aws-open-data/civic-aws-opendata.csv,5932,38,00:51:19.461512917,00:51:19.501226730
./aws-open-data/aws-open-data-uniprot-rdf.csv,559069,3163,00:51:19.509410680,00:51:19.538115893
./aws-open-data/gatk-sv-data-us-east-1.csv,1508590,6998,00:51:19.547124650,00:51:19.580790863
./aws-open-data/gdc-beataml1-cohort-phs001657-2-open.csv,550290,2550,00:51:19.588199748,00:51:19.616930679
./aws-open-data/noaa-ufs-prototypes-pds.csv,139571411,768998,00:51:19.973464518,00:51:20.539318299
./aws-open-data/arpa-e-perform.csv,4537081,23572,00:51:20.558404009,00:51:20.615903995
./aws-open-data/gdc-ccle-2-open.csv,1108318,6365,00:51:20.625135692,00:51:20.659733665
./aws-open-data/pacific-sound-256khz-2021.csv,7089611,50281,00:51:20.682770780,00:51:20.767643469
./aws-open-data/human-pangenomics.csv,42773736,177795,00:51:20.881047716,00:51:21.075779340
./aws-open-data/noaa-normals-pds.csv,21675509,148921,00:51:21.136658842,00:51:21.312352369
./aws-open-data/ford-multi-av-seasonal.csv,44246,278,00:51:21.317294044,00:51:21.341662759
./aws-open-data/pacific-sound-256khz-2018.csv,7312747,51786,00:51:21.365034094,00:51:21.453093757
